City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
191,Roscommon,IE,2022-02-02 15:25:34,53.6333,-8.1833,49.82,82,100,9.93
192,Grindavik,IS,2022-02-02 15:25:35,63.8424,-22.4338,32.47,64,75,6.91
193,Tual,ID,2022-02-02 15:25:35,-5.6667,132.75,83.37,69,100,4.52
194,Esterhazy,CA,2022-02-02 15:25:35,50.65,-102.0843,-21.15,98,19,8.88
195,Marrakesh,MA,2022-02-02 15:25:36,31.6315,-8.0083,78.87,17,0,6.91
196,Sungaipenuh,ID,2022-02-02 15:25:36,-2.0833,101.3833,65.55,97,98,2.37
197,Egvekinot,RU,2022-02-02 15:25:36,66.3167,-179.1667,-7.29,80,14,18.84
198,Mehamn,NO,2022-02-02 15:25:37,71.0357,27.8492,15.71,82,95,7.23
199,East London,ZA,2022-02-02 15:25:37,-33.0153,27.9116,90.54,66,0,4.61
200,Kendari,ID,2022-02-02 15:25:37,-3.945,122.4989,76.66,90,98,0.67
201,Jinchang,CN,2022-02-02 15:25:38,38.4953,102.1739,22.37,32,6,5.26
202,Shimoda,JP,2022-02-02 15:25:38,34.6667,138.95,43.59,62,2,20.45
203,La Asuncion,VE,2022-02-02 15:25:39,11.0333,-63.8628,82.13,69,0,16.11
204,Aykhal,RU,2022-02-02 15:25:39,66.0,111.5,-20.78,100,6,2.73
205,Tehuacan,MX,2022-02-02 15:25:39,18.45,-97.3833,66.79,51,0,4.03
206,Bondoukou,CI,2022-02-02 15:25:40,8.0333,-2.8,94.42,7,35,4.54
207,Krasnoselkup,RU,2022-02-02 15:25:40,65.7,82.4667,-21.41,100,100,3.38
208,Itaituba,BR,2022-02-02 15:25:40,-4.2761,-55.9836,86.16,70,75,8.05
209,Londoko,RU,2022-02-02 15:25:41,49.0333,131.9833,-14.78,99,10,3.18
210,Faanui,PF,2022-02-02 15:25:41,-16.4833,-151.75,80.47,76,20,16.02
211,Pangnirtung,CA,2022-02-02 15:25:41,66.1451,-65.7125,3.2,78,100,13.8
212,Westlock,CA,2022-02-02 15:25:42,54.1502,-113.8688,-12.62,98,28,8.7
213,Andrelandia,BR,2022-02-02 15:25:42,-21.7397,-44.3092,73.8,80,99,6.31
214,Sawtell,AU,2022-02-02 15:25:42,-30.3833,153.1,74.19,95,75,16.11
215,Kenora,CA,2022-02-02 15:25:43,49.8167,-94.4337,-16.62,76,0,8.05
216,Mindelo,CV,2022-02-02 15:25:43,16.8901,-24.9804,78.35,61,20,29.93
217,Antalaha,MG,2022-02-02 15:25:43,-14.9003,50.2788,81.3,68,100,7.47
218,Gopamau,IN,2022-02-02 15:25:44,27.55,80.2833,58.08,54,9,4.9
219,Paamiut,GL,2022-02-02 15:25:44,61.994,-49.6678,1.76,77,9,9.28
220,Athabasca,CA,2022-02-02 15:25:45,54.7169,-113.2854,-27.58,99,21,6.38
221,Porto Novo,BJ,2022-02-02 15:25:45,6.4965,2.6036,87.62,33,10,12.66
222,Katsuura,JP,2022-02-02 15:25:45,35.1333,140.3,42.91,54,63,7.83
223,Honningsvag,NO,2022-02-02 15:25:46,70.9821,25.9704,25.79,73,73,5.7
224,Tongliao,CN,2022-02-02 15:22:45,43.6125,122.2653,-3.84,87,3,7.25
225,Tazovskiy,RU,2022-02-02 15:26:46,67.4667,78.7,-17.68,100,50,6.55
226,Vestmanna,FO,2022-02-02 15:26:47,62.1564,-7.1664,36.52,100,75,1.14
227,Lae,PG,2022-02-02 15:26:47,-6.7221,146.9847,74.68,91,100,12.59
228,Ahmadnagar,IN,2022-02-02 15:26:47,19.0833,74.7333,75.87,22,5,2.73
229,Haines Junction,CA,2022-02-02 15:26:48,60.7522,-137.5108,-5.85,77,100,0.0
230,Tigil,RU,2022-02-02 15:26:48,57.8,158.6667,17.08,96,100,0.29
231,Porto Velho,BR,2022-02-02 15:24:28,-8.7619,-63.9039,82.45,74,20,2.3
232,Khandyga,RU,2022-02-02 15:26:48,62.6667,135.6,-40.02,100,53,1.77
233,Cardoso,BR,2022-02-02 15:26:49,-20.0819,-49.9142,73.69,87,100,4.09
234,Provideniya,RU,2022-02-02 15:26:49,64.3833,-173.3,5.83,65,0,21.59
235,Kathu,TH,2022-02-02 15:26:49,7.9178,98.3332,86.7,76,77,4.52
236,Neiafu,TO,2022-02-02 15:26:50,-18.65,-173.9833,79.48,83,20,5.75
237,San Andres,CO,2022-02-02 15:26:50,12.5847,-81.7006,82.42,61,20,9.22
238,Chardara,KZ,2022-02-02 15:26:50,41.2547,67.9692,45.77,45,71,7.38
239,Linxia,CN,2022-02-02 15:26:51,35.6003,103.2064,14.88,83,15,3.96
240,Ajaccio,FR,2022-02-02 15:26:51,42.0,8.9167,59.49,72,0,5.75
241,Vanimo,PG,2022-02-02 15:26:51,-2.6741,141.3028,77.45,85,100,1.14
242,Esperance,AU,2022-02-02 15:26:52,-33.8667,121.9,62.44,68,0,16.93
243,Isla Vista,US,2022-02-02 15:26:52,34.4133,-119.861,52.36,71,0,4.61
244,Talara,PE,2022-02-02 15:26:52,-4.5772,-81.2719,79.56,57,0,17.27
245,Curuguaty,PY,2022-02-02 15:26:53,-24.4694,-55.6945,95.05,34,2,6.53
246,Hellvik,NO,2022-02-02 15:26:53,59.9156,5.781,37.78,86,99,1.01
247,Quatre Cocos,MU,2022-02-02 15:26:53,-20.2078,57.7625,81.09,88,100,41.38
248,Saint George,US,2022-02-02 15:24:31,37.1041,-113.5841,33.44,36,0,8.99
249,Shingu,JP,2022-02-02 15:26:54,33.7333,135.9833,37.9,76,28,6.04
250,Camalu,MX,2022-02-02 15:26:54,30.85,-116.0667,54.46,67,39,2.48
251,Ankazoabo,MG,2022-02-02 15:26:55,-22.2833,44.5167,91.31,32,27,5.35
252,Chuy,UY,2022-02-02 15:26:55,-33.6971,-53.4616,82.17,46,0,7.74
253,Bowen,AU,2022-02-02 15:26:55,-20.0167,148.2333,79.02,80,100,7.87
254,Iberia,US,2022-02-02 15:26:56,29.9502,-91.7507,65.1,100,100,6.91
255,Roald,NO,2022-02-02 15:26:56,62.5833,6.1333,37.0,80,75,21.85
256,Batticaloa,LK,2022-02-02 15:26:56,7.7102,81.6924,77.22,70,3,9.44
257,Bentiu,SS,2022-02-02 15:26:57,9.2333,29.8333,95.02,12,66,6.2
258,Ayorou,NE,2022-02-02 15:26:57,14.7308,0.9174,87.12,7,0,13.11
259,Kenai,US,2022-02-02 15:26:58,60.5544,-151.2583,17.65,90,100,3.44
260,Ixtapa,MX,2022-02-02 15:25:08,20.7,-105.2,66.22,82,0,3.44
261,Conde,BR,2022-02-02 15:26:58,-7.2597,-34.9075,87.26,62,40,11.5
262,Beyneu,KZ,2022-02-02 15:26:58,45.3167,55.2,33.78,87,35,11.83
263,Urbana,US,2022-02-02 15:26:59,40.1106,-88.2073,31.75,83,100,5.01
264,Champasak,LA,2022-02-02 15:26:59,14.75,106.0,75.16,74,59,1.34
265,Lamu,KE,2022-02-02 15:26:59,-2.2717,40.902,80.82,83,100,12.8
266,Fortuna,US,2022-02-02 15:27:00,40.5982,-124.1573,40.12,81,0,1.99
267,Cockburn Town,TC,2022-02-02 15:25:52,21.4612,-71.1419,75.16,73,75,16.11
268,Paita,PE,2022-02-02 15:27:01,-5.0892,-81.1144,79.36,64,5,10.94
269,Sao Joao Da Barra,BR,2022-02-02 15:27:01,-21.6403,-41.0511,84.29,86,100,4.79
270,Longyearbyen,SJ,2022-02-02 15:24:21,78.2186,15.6401,21.04,73,40,8.05
271,Bethel,US,2022-02-02 15:24:49,41.3712,-73.414,41.13,82,100,5.75
272,Port-Cartier,CA,2022-02-02 15:27:09,50.0334,-66.8654,21.74,94,100,8.61
273,Palmer,US,2022-02-02 15:28:03,42.1584,-72.3287,39.02,74,100,3.0
274,Waitati,NZ,2022-02-02 15:28:03,-45.75,170.5667,62.62,98,100,3.06
275,Terney,RU,2022-02-02 15:28:03,45.0503,136.6092,9.12,74,69,10.76
276,Luganville,VU,2022-02-02 15:28:04,-15.5333,167.1667,78.55,87,100,2.89
277,Husavik,IS,2022-02-02 15:28:04,66.0449,-17.3389,22.91,86,100,7.72
278,Minbu,MM,2022-02-02 15:28:04,20.1833,94.8833,69.76,47,1,5.91
279,Belaya Gora,RU,2022-02-02 15:28:05,68.5333,146.4167,-20.38,99,91,5.48
280,Ribeira Grande,PT,2022-02-02 15:28:05,38.5167,-28.7,63.0,67,40,17.27
281,Iralaya,HN,2022-02-02 15:28:06,15.0,-83.2333,80.69,71,4,8.97
282,Anchorage,US,2022-02-02 15:24:24,61.2181,-149.9003,20.64,86,40,0.0
283,Sawakin,SD,2022-02-02 15:28:06,19.1059,37.3321,73.74,62,1,6.38
284,Suileng,CN,2022-02-02 15:28:07,47.25,127.0833,-16.08,100,33,4.65
285,Nizwa,OM,2022-02-02 15:28:07,22.9333,57.5333,73.67,45,0,6.89
286,Havoysund,NO,2022-02-02 15:28:07,70.9963,24.6622,18.48,80,41,9.06
287,Hualmay,PE,2022-02-02 15:28:08,-11.0964,-77.6139,74.52,71,2,10.11
288,Puerto Ayacucho,VE,2022-02-02 15:28:08,5.6639,-67.6236,89.38,41,70,2.1
289,Takoradi,GH,2022-02-02 15:28:08,4.8845,-1.7554,84.61,65,49,13.53
290,Rosarito,MX,2022-02-02 15:28:09,32.3333,-117.0333,51.12,76,0,5.73
291,Port Said,EG,2022-02-02 15:28:09,31.2565,32.2841,63.82,57,100,10.87
292,Arraial Do Cabo,BR,2022-02-02 15:28:10,-22.9661,-42.0278,84.16,70,75,6.91
293,Pimentel,PE,2022-02-02 15:28:10,-6.8367,-79.9342,77.29,61,0,5.75
